"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","B01001_001",235410,NA
"2","51550","Chesapeake city, Virginia","B01001_002",114935,64
"3","51550","Chesapeake city, Virginia","B01001_003",7591,38
"4","51550","Chesapeake city, Virginia","B01001_004",7934,423
"5","51550","Chesapeake city, Virginia","B01001_005",8369,412
"6","51550","Chesapeake city, Virginia","B01001_006",5327,65
"7","51550","Chesapeake city, Virginia","B01001_007",3021,147
"8","51550","Chesapeake city, Virginia","B01001_008",1564,280
"9","51550","Chesapeake city, Virginia","B01001_009",1755,326
"10","51550","Chesapeake city, Virginia","B01001_010",4790,380
"11","51550","Chesapeake city, Virginia","B01001_011",8342,48
"12","51550","Chesapeake city, Virginia","B01001_012",8260,29
"13","51550","Chesapeake city, Virginia","B01001_013",7757,479
"14","51550","Chesapeake city, Virginia","B01001_014",7426,469
"15","51550","Chesapeake city, Virginia","B01001_015",7811,37
"16","51550","Chesapeake city, Virginia","B01001_016",8550,35
"17","51550","Chesapeake city, Virginia","B01001_017",7916,394
"18","51550","Chesapeake city, Virginia","B01001_018",2923,308
"19","51550","Chesapeake city, Virginia","B01001_019",3299,279
"20","51550","Chesapeake city, Virginia","B01001_020",2072,216
"21","51550","Chesapeake city, Virginia","B01001_021",2504,325
"22","51550","Chesapeake city, Virginia","B01001_022",3321,298
"23","51550","Chesapeake city, Virginia","B01001_023",2161,207
"24","51550","Chesapeake city, Virginia","B01001_024",1208,186
"25","51550","Chesapeake city, Virginia","B01001_025",1034,181
"26","51550","Chesapeake city, Virginia","B01001_026",120475,64
"27","51550","Chesapeake city, Virginia","B01001_027",7339,58
"28","51550","Chesapeake city, Virginia","B01001_028",7960,472
"29","51550","Chesapeake city, Virginia","B01001_029",7843,477
"30","51550","Chesapeake city, Virginia","B01001_030",5190,60
"31","51550","Chesapeake city, Virginia","B01001_031",2634,153
"32","51550","Chesapeake city, Virginia","B01001_032",1230,282
"33","51550","Chesapeake city, Virginia","B01001_033",1517,245
"34","51550","Chesapeake city, Virginia","B01001_034",4666,322
"35","51550","Chesapeake city, Virginia","B01001_035",8162,23
"36","51550","Chesapeake city, Virginia","B01001_036",8301,28
"37","51550","Chesapeake city, Virginia","B01001_037",7819,542
"38","51550","Chesapeake city, Virginia","B01001_038",8257,541
"39","51550","Chesapeake city, Virginia","B01001_039",8208,16
"40","51550","Chesapeake city, Virginia","B01001_040",9374,65
"41","51550","Chesapeake city, Virginia","B01001_041",8704,453
"42","51550","Chesapeake city, Virginia","B01001_042",2924,332
"43","51550","Chesapeake city, Virginia","B01001_043",4051,349
"44","51550","Chesapeake city, Virginia","B01001_044",2286,285
"45","51550","Chesapeake city, Virginia","B01001_045",2975,310
"46","51550","Chesapeake city, Virginia","B01001_046",4277,330
"47","51550","Chesapeake city, Virginia","B01001_047",2814,286
"48","51550","Chesapeake city, Virginia","B01001_048",1758,247
"49","51550","Chesapeake city, Virginia","B01001_049",2186,282
"50","51620","Franklin city, Virginia","B01001_001",8334,NA
"51","51620","Franklin city, Virginia","B01001_002",3663,134
"52","51620","Franklin city, Virginia","B01001_003",185,78
"53","51620","Franklin city, Virginia","B01001_004",361,108
"54","51620","Franklin city, Virginia","B01001_005",298,117
"55","51620","Franklin city, Virginia","B01001_006",88,60
"56","51620","Franklin city, Virginia","B01001_007",68,79
"57","51620","Franklin city, Virginia","B01001_008",38,55
