NAME,variable,individualEstimates
"Gloucester County, Virginia",S1501_C02_015,22.6
"Isle of Wight County, Virginia",S1501_C02_015,27.4
"James City County, Virginia",S1501_C02_015,47.8
"Mathews County, Virginia",S1501_C02_015,26.6
"Southampton County, Virginia",S1501_C02_015,16.1
"York County, Virginia",S1501_C02_015,43.2
"Chesapeake city, Virginia",S1501_C02_015,30.4
"Franklin city, Virginia",S1501_C02_015,22.4
"Hampton city, Virginia",S1501_C02_015,24
"Newport News city, Virginia",S1501_C02_015,24.7
"Norfolk city, Virginia",S1501_C02_015,26.6
"Poquoson city, Virginia",S1501_C02_015,39.8
"Portsmouth city, Virginia",S1501_C02_015,21.1
"Suffolk city, Virginia",S1501_C02_015,26.6
"Virginia Beach city, Virginia",S1501_C02_015,34.2
"Williamsburg city, Virginia",S1501_C02_015,56.7
