NAME,variable,individualEstimates
"Gloucester County, Virginia",S1501_C01_015,19.2
"Isle of Wight County, Virginia",S1501_C01_015,25.1
"James City County, Virginia",S1501_C01_015,45
"Mathews County, Virginia",S1501_C01_015,20.6
"Southampton County, Virginia",S1501_C01_015,12.6
"York County, Virginia",S1501_C01_015,41.5
"Chesapeake city, Virginia",S1501_C01_015,27.9
"Franklin city, Virginia",S1501_C01_015,19
"Hampton city, Virginia",S1501_C01_015,21.8
"Newport News city, Virginia",S1501_C01_015,23.5
"Norfolk city, Virginia",S1501_C01_015,23.7
"Poquoson city, Virginia",S1501_C01_015,36
"Portsmouth city, Virginia",S1501_C01_015,18.7
"Suffolk city, Virginia",S1501_C01_015,25.1
"Virginia Beach city, Virginia",S1501_C01_015,31.9
"Williamsburg city, Virginia",S1501_C01_015,43.3
