"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","S1701_C01_001",233787,825
"2","51550","Chesapeake city, Virginia","S1701_C01_002",57353,309
"3","51550","Chesapeake city, Virginia","S1701_C01_003",14958,129
"4","51550","Chesapeake city, Virginia","S1701_C01_004",42395,313
"5","51550","Chesapeake city, Virginia","S1701_C01_005",57138,370
"6","51550","Chesapeake city, Virginia","S1701_C01_006",146025,716
"7","51550","Chesapeake city, Virginia","S1701_C01_007",52723,438
"8","51550","Chesapeake city, Virginia","S1701_C01_008",93302,405
"9","51550","Chesapeake city, Virginia","S1701_C01_009",44867,607
"10","51550","Chesapeake city, Virginia","S1701_C01_010",30409,186
"11","51550","Chesapeake city, Virginia","S1701_C01_011",112099,788
"12","51550","Chesapeake city, Virginia","S1701_C01_012",121688,206
"13","51550","Chesapeake city, Virginia","S1701_C01_013",143768,801
"14","51550","Chesapeake city, Virginia","S1701_C01_014",68870,1049
"15","51550","Chesapeake city, Virginia","S1701_C01_015",400,158
"16","51550","Chesapeake city, Virginia","S1701_C01_016",7547,485
"17","51550","Chesapeake city, Virginia","S1701_C01_017",132,79
"18","51550","Chesapeake city, Virginia","S1701_C01_018",3573,631
"19","51550","Chesapeake city, Virginia","S1701_C01_019",9497,989
"20","51550","Chesapeake city, Virginia","S1701_C01_020",14568,119
"21","51550","Chesapeake city, Virginia","S1701_C01_021",135198,478
"22","51550","Chesapeake city, Virginia","S1701_C01_022",156597,534
"23","51550","Chesapeake city, Virginia","S1701_C01_023",11062,815
"24","51550","Chesapeake city, Virginia","S1701_C01_024",37096,1533
"25","51550","Chesapeake city, Virginia","S1701_C01_025",55207,1530
"26","51550","Chesapeake city, Virginia","S1701_C01_026",53232,1801
"27","51550","Chesapeake city, Virginia","S1701_C01_027",116661,1256
"28","51550","Chesapeake city, Virginia","S1701_C01_028",111227,1354
"29","51550","Chesapeake city, Virginia","S1701_C01_029",55502,1017
"30","51550","Chesapeake city, Virginia","S1701_C01_030",55725,925
"31","51550","Chesapeake city, Virginia","S1701_C01_031",5434,598
"32","51550","Chesapeake city, Virginia","S1701_C01_032",2982,432
"33","51550","Chesapeake city, Virginia","S1701_C01_033",2452,472
"34","51550","Chesapeake city, Virginia","S1701_C01_034",183006,784
"35","51550","Chesapeake city, Virginia","S1701_C01_035",88231,1526
"36","51550","Chesapeake city, Virginia","S1701_C01_036",38127,1246
"37","51550","Chesapeake city, Virginia","S1701_C01_037",56648,1242
"38","51550","Chesapeake city, Virginia","S1701_C01_038",8977,1407
"39","51550","Chesapeake city, Virginia","S1701_C01_039",26931,2553
"40","51550","Chesapeake city, Virginia","S1701_C01_040",32909,2655
"41","51550","Chesapeake city, Virginia","S1701_C01_041",43876,3063
"42","51550","Chesapeake city, Virginia","S1701_C01_042",48460,3123
"43","51550","Chesapeake city, Virginia","S1701_C01_043",85607,3307
"44","51550","Chesapeake city, Virginia","S1701_C01_044",119270,3127
"45","51550","Chesapeake city, Virginia","S1701_C01_045",149284,2983
"46","51550","Chesapeake city, Virginia","S1701_C01_046",30798,1729
"47","51550","Chesapeake city, Virginia","S1701_C01_047",13985,1102
"48","51550","Chesapeake city, Virginia","S1701_C01_048",16813,943
"49","51550","Chesapeake city, Virginia","S1701_C01_049",41,41
"50","51550","Chesapeake city, Virginia","S1701_C01_050",165,119
"51","51550","Chesapeake city, Virginia","S1701_C01_051",2343,460
"52","51550","Chesapeake city, Virginia","S1701_C01_052",6044,711
"53","51550","Chesapeake city, Virginia","S1701_C01_053",3661,511
"54","51550","Chesapeake city, Virginia","S1701_C01_054",4936,646
"55","51550","Chesapeake city, Virginia","S1701_C01_055",5511,671
"56","51550","Chesapeake city, Virginia","S1701_C01_056",4678,478
"57","51550","Chesapeake city, Virginia","S1701_C01_057",3419,360
"58","51550","Chesapeake city, Virginia","S1701_C01_058",7086,523
"59","51550","Chesapeake city, Virginia","S1701_C01_059",15630,1084
"60","51550","Chesapeake city, Virginia","S1701_C01_060",4759,567
"61","51550","Chesapeake city, Virginia","S1701_C01_061",10409,836
"62","51550","Chesapeake city, Virginia","S1701_C02_001",20024,2210
"63","51550","Chesapeake city, Virginia","S1701_C02_002",8540,1326
"64","51550","Chesapeake city, Virginia","S1701_C02_003",2372,564
"65","51550","Chesapeake city, Virginia","S1701_C02_004",6168,952
"66","51550","Chesapeake city, Virginia","S1701_C02_005",8334,1339
"67","51550","Chesapeake city, Virginia","S1701_C02_006",10165,1138
"68","51550","Chesapeake city, Virginia","S1701_C02_007",4656,651
"69","51550","Chesapeake city, Virginia","S1701_C02_008",5509,761
"70","51550","Chesapeake city, Virginia","S1701_C02_009",2201,395
"71","51550","Chesapeake city, Virginia","S1701_C02_010",1319,257
"72","51550","Chesapeake city, Virginia","S1701_C02_011",8030,961
"73","51550","Chesapeake city, Virginia","S1701_C02_012",11994,1519
"74","51550","Chesapeake city, Virginia","S1701_C02_013",9016,1714
"75","51550","Chesapeake city, Virginia","S1701_C02_014",9639,1346
"76","51550","Chesapeake city, Virginia","S1701_C02_015",13,24
"77","51550","Chesapeake city, Virginia","S1701_C02_016",242,129
"78","51550","Chesapeake city, Virginia","S1701_C02_017",14,20
"79","51550","Chesapeake city, Virginia","S1701_C02_018",467,293
"80","51550","Chesapeake city, Virginia","S1701_C02_019",633,331
"81","51550","Chesapeake city, Virginia","S1701_C02_020",2411,857
