"","GEOID","NAME","variable","estimate","moe"
"1","51550","Chesapeake city, Virginia","B01001_001",233194,NA
"2","51550","Chesapeake city, Virginia","B01001_002",113888,92
"3","51550","Chesapeake city, Virginia","B01001_003",7497,35
"4","51550","Chesapeake city, Virginia","B01001_004",8036,500
"5","51550","Chesapeake city, Virginia","B01001_005",8245,502
"6","51550","Chesapeake city, Virginia","B01001_006",5292,56
"7","51550","Chesapeake city, Virginia","B01001_007",3139,145
"8","51550","Chesapeake city, Virginia","B01001_008",1481,258
"9","51550","Chesapeake city, Virginia","B01001_009",1854,311
"10","51550","Chesapeake city, Virginia","B01001_010",4796,387
"11","51550","Chesapeake city, Virginia","B01001_011",8220,45
"12","51550","Chesapeake city, Virginia","B01001_012",8080,53
"13","51550","Chesapeake city, Virginia","B01001_013",7205,375
"14","51550","Chesapeake city, Virginia","B01001_014",7727,373
"15","51550","Chesapeake city, Virginia","B01001_015",7961,32
"16","51550","Chesapeake city, Virginia","B01001_016",8742,36
"17","51550","Chesapeake city, Virginia","B01001_017",7886,408
"18","51550","Chesapeake city, Virginia","B01001_018",2659,268
"19","51550","Chesapeake city, Virginia","B01001_019",3194,301
"20","51550","Chesapeake city, Virginia","B01001_020",2122,249
"21","51550","Chesapeake city, Virginia","B01001_021",2249,235
"22","51550","Chesapeake city, Virginia","B01001_022",3212,291
"23","51550","Chesapeake city, Virginia","B01001_023",2101,223
"24","51550","Chesapeake city, Virginia","B01001_024",1075,178
"25","51550","Chesapeake city, Virginia","B01001_025",1115,194
"26","51550","Chesapeake city, Virginia","B01001_026",119306,92
"27","51550","Chesapeake city, Virginia","B01001_027",7217,64
"28","51550","Chesapeake city, Virginia","B01001_028",8252,495
"29","51550","Chesapeake city, Virginia","B01001_029",7470,495
"30","51550","Chesapeake city, Virginia","B01001_030",5182,50
"31","51550","Chesapeake city, Virginia","B01001_031",2750,129
"32","51550","Chesapeake city, Virginia","B01001_032",1314,281
"33","51550","Chesapeake city, Virginia","B01001_033",1560,310
"34","51550","Chesapeake city, Virginia","B01001_034",4526,354
"35","51550","Chesapeake city, Virginia","B01001_035",7966,21
"36","51550","Chesapeake city, Virginia","B01001_036",8143,26
"37","51550","Chesapeake city, Virginia","B01001_037",7562,526
"38","51550","Chesapeake city, Virginia","B01001_038",8305,518
"39","51550","Chesapeake city, Virginia","B01001_039",8433,4
"40","51550","Chesapeake city, Virginia","B01001_040",9554,68
"41","51550","Chesapeake city, Virginia","B01001_041",8578,430
"42","51550","Chesapeake city, Virginia","B01001_042",2627,280
"43","51550","Chesapeake city, Virginia","B01001_043",4040,397
"44","51550","Chesapeake city, Virginia","B01001_044",2375,298
"45","51550","Chesapeake city, Virginia","B01001_045",2789,302
"46","51550","Chesapeake city, Virginia","B01001_046",4036,315
"47","51550","Chesapeake city, Virginia","B01001_047",2774,256
"48","51550","Chesapeake city, Virginia","B01001_048",1610,249
"49","51550","Chesapeake city, Virginia","B01001_049",2243,246
"50","51620","Franklin city, Virginia","B01001_001",8413,NA
"51","51620","Franklin city, Virginia","B01001_002",3699,146
"52","51620","Franklin city, Virginia","B01001_003",210,80
"53","51620","Franklin city, Virginia","B01001_004",348,124
"54","51620","Franklin city, Virginia","B01001_005",301,123
"55","51620","Franklin city, Virginia","B01001_006",84,62
"56","51620","Franklin city, Virginia","B01001_007",79,67
"57","51620","Franklin city, Virginia","B01001_008",51,63
"58","51620","Franklin city, Virginia","B01001_009",35,42
"59","51620","Franklin city, Virginia","B01001_010",166,108
"60","51620","Franklin city, Virginia","B01001_011",172,92
"61","51620","Franklin city, Virginia","B01001_012",263,96
"62","51620","Franklin city, Virginia","B01001_013",254,112
"63","51620","Franklin city, Virginia","B01001_014",110,69
"64","51620","Franklin city, Virginia","B01001_015",297,133
"65","51620","Franklin city, Virginia","B01001_016",217,62
"66","51620","Franklin city, Virginia","B01001_017",116,59
"67","51620","Franklin city, Virginia","B01001_018",172,65
"68","51620","Franklin city, Virginia","B01001_019",209,65
"69","51620","Franklin city, Virginia","B01001_020",107,67
"70","51620","Franklin city, Virginia","B01001_021",103,67
"71","51620","Franklin city, Virginia","B01001_022",171,70
"72","51620","Franklin city, Virginia","B01001_023",73,50
"73","51620","Franklin city, Virginia","B01001_024",94,41
"74","51620","Franklin city, Virginia","B01001_025",67,48
"75","51620","Franklin city, Virginia","B01001_026",4714,146
"76","51620","Franklin city, Virginia","B01001_027",337,128
"77","51620","Franklin city, Virginia","B01001_028",260,93
"78","51620","Franklin city, Virginia","B01001_029",313,94
"79","51620","Franklin city, Virginia","B01001_030",190,66
"80","51620","Franklin city, Virginia","B01001_031",111,91
"81","51620","Franklin city, Virginia","B01001_032",36,42
"82","51620","Franklin city, Virginia","B01001_033",51,51
"83","51620","Franklin city, Virginia","B01001_034",75,66
"84","51620","Franklin city, Virginia","B01001_035",398,110
"85","51620","Franklin city, Virginia","B01001_036",308,110
"86","51620","Franklin city, Virginia","B01001_037",266,128
"87","51620","Franklin city, Virginia","B01001_038",263,123
"88","51620","Franklin city, Virginia","B01001_039",191,96
"89","51620","Franklin city, Virginia","B01001_040",337,NA
"90","51620","Franklin city, Virginia","B01001_041",272,88
"91","51620","Franklin city, Virginia","B01001_042",195,86
"92","51620","Franklin city, Virginia","B01001_043",218,95
"93","51620","Franklin city, Virginia","B01001_044",151,63
"94","51620","Franklin city, Virginia","B01001_045",104,67
"95","51620","Franklin city, Virginia","B01001_046",186,69
"96","51620","Franklin city, Virginia","B01001_047",118,54
"97","51620","Franklin city, Virginia","B01001_048",139,46
"98","51620","Franklin city, Virginia","B01001_049",195,64
"99","51650","Hampton city, Virginia","B01001_001",136789,NA
"100","51650","Hampton city, Virginia","B01001_002",65983,126
"101","51650","Hampton city, Virginia","B01001_003",4327,51
"102","51650","Hampton city, Virginia","B01001_004",4315,359
"103","51650","Hampton city, Virginia","B01001_005",4212,350
"104","51650","Hampton city, Virginia","B01001_006",2467,77
"105","51650","Hampton city, Virginia","B01001_007",2056,75
"106","51650","Hampton city, Virginia","B01001_008",1612,283
"107","51650","Hampton city, Virginia","B01001_009",1213,222
"108","51650","Hampton city, Virginia","B01001_010",3686,353
"109","51650","Hampton city, Virginia","B01001_011",5638,64
"110","51650","Hampton city, Virginia","B01001_012",4636,59
"111","51650","Hampton city, Virginia","B01001_013",3770,298
"112","51650","Hampton city, Virginia","B01001_014",3286,294
"113","51650","Hampton city, Virginia","B01001_015",3760,92
