"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","B01001_001",8310301,NA
"2","51","Virginia","B01001_002",4086283,1410
"3","51","Virginia","B01001_003",261100,749
"4","51","Virginia","B01001_004",266182,2763
"5","51","Virginia","B01001_005",265726,2760
"6","51","Virginia","B01001_006",159904,647
"7","51","Virginia","B01001_007",118631,1087
"8","51","Virginia","B01001_008",62519,1710
"9","51","Virginia","B01001_009",64745,2064
"10","51","Virginia","B01001_010",178738,2504
"11","51","Virginia","B01001_011",293037,1007
"12","51","Virginia","B01001_012",287791,869
"13","51","Virginia","B01001_013",267445,3076
"14","51","Virginia","B01001_014",276068,2869
"15","51","Virginia","B01001_015",283940,791
"16","51","Virginia","B01001_016",296290,746
"17","51","Virginia","B01001_017",268263,1993
"18","51","Virginia","B01001_018",98434,1628
"19","51","Virginia","B01001_019",133945,1589
"20","51","Virginia","B01001_020",82598,1572
"21","51","Virginia","B01001_021",104334,1761
"22","51","Virginia","B01001_022",129415,1565
"23","51","Virginia","B01001_023",85768,1419
"24","51","Virginia","B01001_024",56269,1047
"25","51","Virginia","B01001_025",45141,1055
"26","51","Virginia","B01001_026",4224018,1410
"27","51","Virginia","B01001_027",249157,782
"28","51","Virginia","B01001_028",257190,2468
"29","51","Virginia","B01001_029",252936,2547
"30","51","Virginia","B01001_030",153361,690
"31","51","Virginia","B01001_031",114903,1415
"32","51","Virginia","B01001_032",58368,1613
"33","51","Virginia","B01001_033",59261,1698
"34","51","Virginia","B01001_034",166570,2078
"35","51","Virginia","B01001_035",287396,741
"36","51","Virginia","B01001_036",286313,868
"37","51","Virginia","B01001_037",270562,2396
"38","51","Virginia","B01001_038",280883,2580
"39","51","Virginia","B01001_039",294037,687
"40","51","Virginia","B01001_040",309284,574
"41","51","Virginia","B01001_041",288191,2484
"42","51","Virginia","B01001_042",107149,1929
"43","51","Virginia","B01001_043",147165,2126
"44","51","Virginia","B01001_044",90292,1572
"45","51","Virginia","B01001_045",117846,1600
"46","51","Virginia","B01001_046",152879,1461
"47","51","Virginia","B01001_047",107079,1697
"48","51","Virginia","B01001_048",80844,1461
"49","51","Virginia","B01001_049",92352,1397
