"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","S1701_C01_001",7769128,1507
"2","51","Virginia","S1701_C01_002",1822714,1657
"3","51","Virginia","S1701_C01_003",1815813,1822
"4","51","Virginia","S1701_C01_004",4985270,1254
"5","51","Virginia","S1701_C01_005",961144,897
"6","51","Virginia","S1701_C01_006",3777350,2236
"7","51","Virginia","S1701_C01_007",3991778,2374
"8","51","Virginia","S1701_C01_008",7555191,5407
"9","51","Virginia","S1701_C01_009",5426085,6786
"10","51","Virginia","S1701_C01_010",1484905,4585
"11","51","Virginia","S1701_C01_011",23936,1707
"12","51","Virginia","S1701_C01_012",435887,2737
"13","51","Virginia","S1701_C01_013",5139,579
"14","51","Virginia","S1701_C01_014",179239,6584
"15","51","Virginia","S1701_C01_015",213937,5529
"16","51","Virginia","S1701_C01_016",613911,1309
"17","51","Virginia","S1701_C01_017",5052767,2391
"18","51","Virginia","S1701_C01_018",5258679,1857
"19","51","Virginia","S1701_C01_019",665399,7517
"20","51","Virginia","S1701_C01_020",1317050,8517
"21","51","Virginia","S1701_C01_021",1427312,7287
"22","51","Virginia","S1701_C01_022",1848918,12279
"23","51","Virginia","S1701_C01_023",4127930,7602
"24","51","Virginia","S1701_C01_024",3846107,8436
"25","51","Virginia","S1701_C01_025",1981622,5288
"26","51","Virginia","S1701_C01_026",1864485,5512
"27","51","Virginia","S1701_C01_027",281823,3641
"28","51","Virginia","S1701_C01_028",151715,2710
"29","51","Virginia","S1701_C01_029",130108,2316
"30","51","Virginia","S1701_C01_030",6155132,2171
"31","51","Virginia","S1701_C01_031",2886020,9363
"32","51","Virginia","S1701_C01_032",1442407,7911
"33","51","Virginia","S1701_C01_033",1826705,8579
"34","51","Virginia","S1701_C01_034",387833,8437
"35","51","Virginia","S1701_C01_035",1138901,13894
"36","51","Virginia","S1701_C01_036",1430965,15133
"37","51","Virginia","S1701_C01_037",1856541,17187
"38","51","Virginia","S1701_C01_038",2028467,18256
"39","51","Virginia","S1701_C01_039",1419650,9358
"40","51","Virginia","S1701_C01_040",687237,6528
"41","51","Virginia","S1701_C01_041",732413,5267
"42","51","Virginia","S1701_C01_042",6364,61
"43","51","Virginia","S1701_C01_043",690864,8103
"44","51","Virginia","S1701_C01_044",312503,4318
"45","51","Virginia","S1701_C01_045",416283,4166
"46","51","Virginia","S1701_C01_046",23.4,NA
"47","51","Virginia","S1701_C02_001",859032,11462
"48","51","Virginia","S1701_C02_002",265922,6222
"49","51","Virginia","S1701_C02_003",259651,6200
"50","51","Virginia","S1701_C02_004",516806,6981
"51","51","Virginia","S1701_C02_005",76304,1950
"52","51","Virginia","S1701_C02_006",369703,6470
"53","51","Virginia","S1701_C02_007",489329,6500
"54","51","Virginia","S1701_C02_008",830979,11497
"55","51","Virginia","S1701_C02_009",473308,7843
"56","51","Virginia","S1701_C02_010",287651,6116
"57","51","Virginia","S1701_C02_011",3478,572
"58","51","Virginia","S1701_C02_012",36429,2420
"59","51","Virginia","S1701_C02_013",585,346
"60","51","Virginia","S1701_C02_014",29528,2945
"61","51","Virginia","S1701_C02_015",28053,2023
"62","51","Virginia","S1701_C02_016",94533,4299
"63","51","Virginia","S1701_C02_017",417110,6715
"64","51","Virginia","S1701_C02_018",442398,5494
"65","51","Virginia","S1701_C02_019",149160,2810
"66","51","Virginia","S1701_C02_020",140608,2994
"67","51","Virginia","S1701_C02_021",100960,2376
"68","51","Virginia","S1701_C02_022",51670,1773
"69","51","Virginia","S1701_C02_023",275752,4192
"70","51","Virginia","S1701_C02_024",197162,3718
"71","51","Virginia","S1701_C02_025",80557,2451
"72","51","Virginia","S1701_C02_026",116605,2615
"73","51","Virginia","S1701_C02_027",78590,2235
"74","51","Virginia","S1701_C02_028",38168,1349
"75","51","Virginia","S1701_C02_029",40422,1408
"76","51","Virginia","S1701_C02_030",619987,7823
"77","51","Virginia","S1701_C02_031",52742,1615
"78","51","Virginia","S1701_C02_032",224842,3331
"79","51","Virginia","S1701_C02_033",342403,6232
"80","51","Virginia","S1701_C02_034",NA,NA
"81","51","Virginia","S1701_C02_035",NA,NA
"82","51","Virginia","S1701_C02_036",NA,NA
"83","51","Virginia","S1701_C02_037",NA,NA
"84","51","Virginia","S1701_C02_038",NA,NA
"85","51","Virginia","S1701_C02_039",317582,4537
"86","51","Virginia","S1701_C02_040",137718,3001
"87","51","Virginia","S1701_C02_041",179864,3184
"88","51","Virginia","S1701_C02_042",NA,NA
"89","51","Virginia","S1701_C02_043",18136,968
"90","51","Virginia","S1701_C02_044",125425,2773
"91","51","Virginia","S1701_C02_045",174021,3584
"92","51","Virginia","S1701_C02_046",NA,NA
"93","51","Virginia","S1701_C03_001",11.1,0.1
"94","51","Virginia","S1701_C03_002",14.6,0.3
"95","51","Virginia","S1701_C03_003",14.3,0.3
"96","51","Virginia","S1701_C03_004",10.4,0.1
"97","51","Virginia","S1701_C03_005",7.9,0.2
"98","51","Virginia","S1701_C03_006",9.8,0.2
"99","51","Virginia","S1701_C03_007",12.3,0.2
"100","51","Virginia","S1701_C03_008",11,0.2
"101","51","Virginia","S1701_C03_009",8.7,0.1
"102","51","Virginia","S1701_C03_010",19.4,0.4
"103","51","Virginia","S1701_C03_011",14.5,1.9
"104","51","Virginia","S1701_C03_012",8.4,0.6
"105","51","Virginia","S1701_C03_013",11.4,6.3
"106","51","Virginia","S1701_C03_014",16.5,1.5
"107","51","Virginia","S1701_C03_015",13.1,0.9
"108","51","Virginia","S1701_C03_016",15.4,0.7
"109","51","Virginia","S1701_C03_017",8.3,0.1
