"","GEOID","NAME","variable","estimate","moe"
"1","51","Virginia","S1701_C01_001",8162107,1377
"2","51","Virginia","S1701_C01_002",1839399,1731
"3","51","Virginia","S1701_C01_003",502382,1018
"4","51","Virginia","S1701_C01_004",1337017,1415
"5","51","Virginia","S1701_C01_005",1831435,1930
"6","51","Virginia","S1701_C01_006",5119087,1172
"7","51","Virginia","S1701_C01_007",1831219,1878
"8","51","Virginia","S1701_C01_008",3287868,1920
"9","51","Virginia","S1701_C01_009",1708457,3246
"10","51","Virginia","S1701_C01_010",1203621,896
"11","51","Virginia","S1701_C01_011",3980770,2321
"12","51","Virginia","S1701_C01_012",4181337,2390
"13","51","Virginia","S1701_C01_013",5571296,6848
"14","51","Virginia","S1701_C01_014",1539083,5482
"15","51","Virginia","S1701_C01_015",21819,1332
"16","51","Virginia","S1701_C01_016",521950,3382
"17","51","Virginia","S1701_C01_017",5250,507
"18","51","Virginia","S1701_C01_018",203560,6213
"19","51","Virginia","S1701_C01_019",299149,6026
"20","51","Virginia","S1701_C01_020",750196,1328
"21","51","Virginia","S1701_C01_021",5094343,2075
"22","51","Virginia","S1701_C01_022",5632974,2256
"23","51","Virginia","S1701_C01_023",588583,7071
"24","51","Virginia","S1701_C01_024",1341777,9576
"25","51","Virginia","S1701_C01_025",1525006,7440
"26","51","Virginia","S1701_C01_026",2177608,13592
"27","51","Virginia","S1701_C01_027",4302548,7589
"28","51","Virginia","S1701_C01_028",4089946,7982
"29","51","Virginia","S1701_C01_029",2119496,4558
"30","51","Virginia","S1701_C01_030",1970450,6061
"31","51","Virginia","S1701_C01_031",212602,4049
"32","51","Virginia","S1701_C01_032",111002,2436
"33","51","Virginia","S1701_C01_033",101600,2808
"34","51","Virginia","S1701_C01_034",6530255,2137
"35","51","Virginia","S1701_C01_035",3041120,9356
"36","51","Virginia","S1701_C01_036",1480228,8610
"37","51","Virginia","S1701_C01_037",2008907,9275
"38","51","Virginia","S1701_C01_038",425969,8375
"39","51","Virginia","S1701_C01_039",1179171,15738
"40","51","Virginia","S1701_C01_040",1465770,17898
"41","51","Virginia","S1701_C01_041",1898212,19798
"42","51","Virginia","S1701_C01_042",2079830,20257
"43","51","Virginia","S1701_C01_043",3284509,24598
"44","51","Virginia","S1701_C01_044",4364698,22573
"45","51","Virginia","S1701_C01_045",5262268,21639
"46","51","Virginia","S1701_C01_046",1543467,9693
"47","51","Virginia","S1701_C01_047",740483,6698
"48","51","Virginia","S1701_C01_048",802984,5624
"49","51","Virginia","S1701_C01_049",2126,322
"50","51","Virginia","S1701_C01_050",5371,526
"51","51","Virginia","S1701_C01_051",183760,3105
"52","51","Virginia","S1701_C01_052",333003,3930
"53","51","Virginia","S1701_C01_053",188427,3788
"54","51","Virginia","S1701_C01_054",218830,3680
"55","51","Virginia","S1701_C01_055",248074,3154
"56","51","Virginia","S1701_C01_056",190335,2718
"57","51","Virginia","S1701_C01_057",173541,2485
"58","51","Virginia","S1701_C01_058",7236,62
"59","51","Virginia","S1701_C01_059",730389,7511
"60","51","Virginia","S1701_C01_060",325636,4175
"61","51","Virginia","S1701_C01_061",487442,4253
"62","51","Virginia","S1701_C02_001",893580,13485
"63","51","Virginia","S1701_C02_002",266487,6458
"64","51","Virginia","S1701_C02_003",78668,2626
"65","51","Virginia","S1701_C02_004",187819,4785
"66","51","Virginia","S1701_C02_005",259149,6339
"67","51","Virginia","S1701_C02_006",535593,7777
"68","51","Virginia","S1701_C02_007",266949,4554
"69","51","Virginia","S1701_C02_008",268644,5019
"70","51","Virginia","S1701_C02_009",133450,2412
"71","51","Virginia","S1701_C02_010",91500,1851
"72","51","Virginia","S1701_C02_011",388844,6654
"73","51","Virginia","S1701_C02_012",504736,8024
"74","51","Virginia","S1701_C02_013",491552,9174
"75","51","Virginia","S1701_C02_014",286807,6653
"76","51","Virginia","S1701_C02_015",2993,863
"77","51","Virginia","S1701_C02_016",38738,2159
"78","51","Virginia","S1701_C02_017",390,175
"79","51","Virginia","S1701_C02_018",34532,2903
"80","51","Virginia","S1701_C02_019",38568,2325
"81","51","Virginia","S1701_C02_020",110252,4924
"82","51","Virginia","S1701_C02_021",426968,7662
"83","51","Virginia","S1701_C02_022",483533,6714
"84","51","Virginia","S1701_C02_023",129939,3468
"85","51","Virginia","S1701_C02_024",160071,3630
"86","51","Virginia","S1701_C02_025",124152,3226
