Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2010,"Gloucester County, Virginia",C15002B_006,61,C15002B_011,131,C15002B_001,2296,8.362369337979095
2010,"Isle of Wight County, Virginia",C15002B_006,312,C15002B_011,468,C15002B_001,5889,13.245033112582782
2010,"James City County, Virginia",C15002B_006,244,C15002B_011,287,C15002B_001,5391,9.84974958263773
2010,"Mathews County, Virginia",C15002B_006,58,C15002B_011,0,C15002B_001,695,8.345323741007196
2010,"Southampton County, Virginia",C15002B_006,123,C15002B_011,225,C15002B_001,4948,7.033144704931285
2010,"York County, Virginia",C15002B_006,566,C15002B_011,844,C15002B_001,5532,25.488069414316705
2010,"Chesapeake city, Virginia",C15002B_006,3334,C15002B_011,5581,C15002B_001,40092,22.23635638032525
2010,"Franklin city, Virginia",C15002B_006,34,C15002B_011,125,C15002B_001,2863,5.553615089067412
2010,"Hampton city, Virginia",C15002B_006,3152,C15002B_011,4681,C15002B_001,40884,19.159084238332845
2010,"Newport News city, Virginia",C15002B_006,2915,C15002B_011,4266,C15002B_001,42620,16.848897231346786
2010,"Norfolk city, Virginia",C15002B_006,2618,C15002B_011,4232,C15002B_001,57835,11.844039076683668
2010,"Poquoson city, Virginia",C15002B_006,0,C15002B_011,11,C15002B_001,12,91.66666666666666
2010,"Portsmouth city, Virginia",C15002B_006,1463,C15002B_011,2714,C15002B_001,30890,13.522175461314342
2010,"Suffolk city, Virginia",C15002B_006,1427,C15002B_011,2318,C15002B_001,21559,17.37093557215084
2010,"Virginia Beach city, Virginia",C15002B_006,3581,C15002B_011,6660,C15002B_001,49257,20.790953570050956
2010,"Williamsburg city, Virginia",C15002B_006,29,C15002B_011,112,C15002B_001,1040,13.557692307692307
