Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2015,"Gloucester County, Virginia",C15002B_006,161,C15002B_011,184,C15002B_001,2332,14.794168096054888
2015,"Isle of Wight County, Virginia",C15002B_006,354,C15002B_011,426,C15002B_001,5893,13.236042762599695
2015,"James City County, Virginia",C15002B_006,650,C15002B_011,857,C15002B_001,6215,24.24778761061947
2015,"Mathews County, Virginia",C15002B_006,8,C15002B_011,73,C15002B_001,761,10.64388961892247
2015,"Southampton County, Virginia",C15002B_006,94,C15002B_011,359,C15002B_001,4855,9.33058702368692
2015,"York County, Virginia",C15002B_006,697,C15002B_011,1018,C15002B_001,5655,30.327144120247567
2015,"Chesapeake city, Virginia",C15002B_006,3511,C15002B_011,6913,C15002B_001,43738,23.832822717088114
2015,"Franklin city, Virginia",C15002B_006,285,C15002B_011,225,C15002B_001,3070,16.612377850162865
2015,"Hampton city, Virginia",C15002B_006,3413,C15002B_011,5563,C15002B_001,42742,21.0004211314398
2015,"Newport News city, Virginia",C15002B_006,2615,C15002B_011,5013,C15002B_001,44030,17.3245514421985
2015,"Norfolk city, Virginia",C15002B_006,3295,C15002B_011,5284,C15002B_001,59883,14.326269558973332
2015,"Poquoson city, Virginia",C15002B_006,9,C15002B_011,9,C15002B_001,91,19.78021978021978
2015,"Portsmouth city, Virginia",C15002B_006,1874,C15002B_011,3473,C15002B_001,31775,16.82769472856019
2015,"Suffolk city, Virginia",C15002B_006,1760,C15002B_011,2665,C15002B_001,22759,19.442857770552312
2015,"Virginia Beach city, Virginia",C15002B_006,5146,C15002B_011,8110,C15002B_001,53161,24.935573070484
2015,"Williamsburg city, Virginia",C15002B_006,172,C15002B_011,157,C15002B_001,1282,25.663026521060843
