Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2012,"Gloucester County, Virginia",C15002B_006,267,C15002B_011,252,C15002B_001,2459,21.106140707604716
2012,"Isle of Wight County, Virginia",C15002B_006,366,C15002B_011,453,C15002B_001,5948,13.769334229993275
2012,"James City County, Virginia",C15002B_006,489,C15002B_011,476,C15002B_001,5844,16.512662559890487
2012,"Mathews County, Virginia",C15002B_006,21,C15002B_011,21,C15002B_001,711,5.9071729957805905
2012,"Southampton County, Virginia",C15002B_006,155,C15002B_011,243,C15002B_001,4942,8.053419668150546
2012,"York County, Virginia",C15002B_006,533,C15002B_011,901,C15002B_001,5652,25.371549893842886
2012,"Chesapeake city, Virginia",C15002B_006,3501,C15002B_011,5906,C15002B_001,41400,22.72222222222222
2012,"Franklin city, Virginia",C15002B_006,67,C15002B_011,116,C15002B_001,2909,6.29082158817463
2012,"Hampton city, Virginia",C15002B_006,3441,C15002B_011,5057,C15002B_001,41774,20.342796955043806
2012,"Newport News city, Virginia",C15002B_006,3036,C15002B_011,4501,C15002B_001,43101,17.48683325212872
2012,"Norfolk city, Virginia",C15002B_006,2643,C15002B_011,4961,C15002B_001,58614,12.973009861125329
2012,"Poquoson city, Virginia",C15002B_006,0,C15002B_011,11,C15002B_001,28,39.285714285714285
2012,"Portsmouth city, Virginia",C15002B_006,1673,C15002B_011,2825,C15002B_001,31323,14.360054911726209
2012,"Suffolk city, Virginia",C15002B_006,1545,C15002B_011,2513,C15002B_001,22227,18.25707472893328
2012,"Virginia Beach city, Virginia",C15002B_006,3773,C15002B_011,7047,C15002B_001,50503,21.42446983347524
2012,"Williamsburg city, Virginia",C15002B_006,113,C15002B_011,96,C15002B_001,1149,18.189730200174065
