Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2017,"Gloucester County, Virginia",C15002B_006,161,C15002B_011,287,C15002B_001,2413,18.566100290095317
2017,"Isle of Wight County, Virginia",C15002B_006,341,C15002B_011,571,C15002B_001,5866,15.547221275144905
2017,"James City County, Virginia",C15002B_006,630,C15002B_011,884,C15002B_001,6321,23.951906343932922
2017,"Mathews County, Virginia",C15002B_006,6,C15002B_011,60,C15002B_001,785,8.40764331210191
2017,"Southampton County, Virginia",C15002B_006,149,C15002B_011,458,C15002B_001,4486,13.5309852875613
2017,"York County, Virginia",C15002B_006,774,C15002B_011,1088,C15002B_001,5745,32.41079199303742
2017,"Chesapeake city, Virginia",C15002B_006,3955,C15002B_011,7831,C15002B_001,45646,25.82044428865618
2017,"Franklin city, Virginia",C15002B_006,285,C15002B_011,296,C15002B_001,3141,18.497293855460047
2017,"Hampton city, Virginia",C15002B_006,3697,C15002B_011,6562,C15002B_001,43339,23.67151987816978
2017,"Newport News city, Virginia",C15002B_006,2717,C15002B_011,5213,C15002B_001,44845,17.683130783810906
2017,"Norfolk city, Virginia",C15002B_006,3829,C15002B_011,5206,C15002B_001,60468,14.941787391678243
2017,"Poquoson city, Virginia",C15002B_006,8,C15002B_011,15,C15002B_001,97,23.711340206185564
2017,"Portsmouth city, Virginia",C15002B_006,2056,C15002B_011,3629,C15002B_001,32025,17.75175644028103
2017,"Suffolk city, Virginia",C15002B_006,1919,C15002B_011,3200,C15002B_001,23621,21.6713940984717
2017,"Virginia Beach city, Virginia",C15002B_006,5285,C15002B_011,8450,C15002B_001,54367,25.263487041771665
2017,"Williamsburg city, Virginia",C15002B_006,143,C15002B_011,180,C15002B_001,1306,24.732006125574273
